session_infomation,is_botnet
TCP 172.217.26.14:443 > 192.168.0.33:64748.png,1
TCP 192.168.0.19:4095 > 173.194.49.203:443.png,1
UDP 192.168.0.24:38243 > 163.152.1.1:53.png,1
TCP 192.168.0.19:3398 > 104.76.85.130:443.png,1
TCP 211.188.147.64:443 > 192.168.0.24:40541.png,1
TCP 192.168.0.24:40541 > 211.188.147.64:443.png,1
TCP 192.168.0.19:4995 > 52.114.32.7:443.png,1
TCP 104.118.134.215:443 > 192.168.0.24:43238.png,1
TCP 104.74.152.109:443 > 192.168.0.14:51452.png,1
TCP 192.168.0.19:4989 > 20.36.222.39:443.png,1
UDP 163.152.1.1:53 > 192.168.0.24:38243.png,1
TCP 192.168.0.24:43238 > 104.118.134.215:443.png,1
TCP 192.168.0.19:5001 > 130.198.91.101:443.png,1
