session_infomation,is_botnet
UDP 192.168.0.13:60064 > 210.89.164.90:8899,1
UDP 192.168.0.13:60065 > 210.89.164.90:8899,1
UDP 192.168.0.13:51997 > 210.89.164.90:8899,1
TCP 192.168.0.19:5260 > 213.227.170.134:80,1
UDP 192.168.0.13:60060 > 210.89.164.90:8899,1
UDP 192.168.0.13:60077 > 210.89.164.90:8899,1
UDP 192.168.0.33:5353 > 192.168.0.16:5353,1
TCP 192.168.0.19:5272 > 168.1.114.5:80,1
UDP 192.168.0.13:60067 > 210.89.164.90:8899,1
UDP 192.168.0.13:60087 > 210.89.164.90:8899,1
UDP 192.168.0.13:60080 > 210.89.164.90:8899,1
UDP 192.168.0.13:60036 > 210.89.164.90:8899,1
UDP 192.168.0.13:60076 > 210.89.164.90:8899,1
UDP 192.168.0.13:60085 > 210.89.164.90:8899,1
UDP 192.168.0.13:60081 > 210.89.164.90:8899,1
UDP 192.168.0.13:60086 > 210.89.164.90:8899,1
UDP 192.168.0.13:64775 > 210.89.164.90:9988,1
TCP 192.168.0.19:5164 > 220.181.136.210:443,1
UDP 192.168.0.13:64783 > 210.89.164.90:9988,1
UDP 192.168.0.13:60074 > 210.89.164.90:8899,1
TCP 192.168.0.19:4095 > 173.194.49.203:443,1
IP 192.168.0.16 > 224.0.0.2 proto=igmp,1
UDP 192.168.0.13:60088 > 210.89.164.90:8899,1
UDP 192.168.0.13:60084 > 210.89.164.90:8899,1
UDP 192.168.0.13:60075 > 210.89.164.90:8899,1
UDP 192.168.0.13:60073 > 210.89.164.90:8899,1
TCP 192.168.0.19:5270 > 188.172.203.41:80,1
UDP 192.168.0.13:60089 > 210.89.164.90:8899,1
UDP 192.168.0.13:60083 > 210.89.164.90:8899,1
ARP 192.168.0.1 > 192.168.0.24,1
UDP 192.168.0.13:64776 > 210.89.164.90:9988,1
UDP 192.168.0.13:64777 > 210.89.164.90:9988,1
UDP 192.168.0.13:64780 > 210.89.164.90:9988,1
UDP 192.168.0.13:60090 > 210.89.164.90:8899,1
UDP fe80::1c60:edf4:f8a0:e9b7:5353 > ff02::fb:5353,1
TCP 192.168.0.19:3398 > 104.76.85.130:443,1
UDP 192.168.0.13:60078 > 210.89.164.90:8899,1
UDP 192.168.0.13:60091 > 210.89.164.90:8899,1
UDP 192.168.0.13:60070 > 210.89.164.90:8899,1
UDP 192.168.0.13:60072 > 210.89.164.90:8899,1
UDP 192.168.0.13:60082 > 210.89.164.90:8899,1
UDP 192.168.0.13:51991 > 210.89.164.90:8899,1
UDP 192.168.0.13:60068 > 210.89.164.90:8899,1
UDP 192.168.0.13:60054 > 210.89.164.90:8899,1
TCP 104.118.134.215:443 > 192.168.0.24:43238,1
UDP 192.168.0.16:5353 > 224.0.0.251:5353,1
TCP 192.168.0.19:5267 > 211.233.18.17:80,1
TCP 192.168.0.19:5265 > 203.205.146.45:80,1
UDP 192.168.0.13:64778 > 210.89.164.90:9988,1
UDP 192.168.0.13:60066 > 210.89.164.90:8899,1
UDP 192.168.0.13:64779 > 210.89.164.90:9988,1
UDP 192.168.0.19:59394 > 163.152.11.6:53,1
IP 192.168.0.16 > 224.0.0.251 proto=igmp,1
UDP 192.168.0.13:64774 > 210.89.164.90:9988,1
UDP 192.168.0.13:60063 > 210.89.164.90:8899,1
UDP 192.168.0.13:60079 > 210.89.164.90:8899,1
TCP 192.168.0.24:43238 > 104.118.134.215:443,1
UDP 192.168.0.13:64782 > 210.89.164.90:9988,1
UDP 192.168.0.13:60069 > 210.89.164.90:8899,1
ARP 192.168.0.24 > 192.168.0.1,1
UDP 192.168.0.13:60071 > 210.89.164.90:8899,1
UDP 192.168.0.13:64781 > 210.89.164.90:9988,1
